,Class ID,Preferred Label,Synonyms,Definitions,Parents
1,http://edamontology.org/data_0006,Data,Data record|Data set|Datum,"Information, represented in an information artefact (data record) that is 'understandable' by dedicated computational tools that can use the data as input or produce it as output.",http://www.w3.org/2002/07/owl#Thing
4,http://edamontology.org/data_0582,Ontology,,"An ontology of biological or bioinformatics concepts and relations, a controlled vocabulary, structured glossary etc.",http://edamontology.org/data_2353
9,http://edamontology.org/data_0842,Identifier,ID|http://purl.org/dc/elements/1.1/identifier,"A text token, number or something else which identifies an entity, but which may not be persistent (stable) or unique (the same identifier may identify multiple things).",http://edamontology.org/data_0006
11,http://edamontology.org/data_0844,Molecular mass,,Mass of a molecule.,http://edamontology.org/data_2050
12,http://edamontology.org/data_0845,Molecular charge,,Net charge of a molecule.,http://edamontology.org/data_2050
13,http://edamontology.org/data_0846,Chemical formula,Chemical structure specification,A specification of a chemical structure.,http://edamontology.org/data_2050
14,http://edamontology.org/data_0847,QSAR descriptor,,A QSAR quantitative descriptor (name-value pair) of chemical structure.|QSAR descriptors have numeric values that quantify chemical information encoded in a symbolic representation of a molecule. They are used in quantitative structure activity relationship (QSAR) applications. Many subtypes of individual descriptors (not included in EDAM) cover various types of protein properties.,http://edamontology.org/data_2050
16,http://edamontology.org/data_0849,Sequence record,,A molecular sequence and associated metadata.,http://edamontology.org/data_2044
17,http://edamontology.org/data_0850,Sequence set,Alignment reference|SO:0001260,"A collection of one or typically multiple molecular sequences (which can include derived data or metadata) that do not (typically) correspond to molecular sequence database records or entries and which (typically) are derived from some analytical method.|An example is an alignment reference; one or a set of reference molecular sequences, structures, or profiles used for alignment of genomic, transcriptomic, or proteomic experimental data.|This concept may be used for arbitrary sequence sets and associated data arising from processing.",http://edamontology.org/data_0006
23,http://edamontology.org/data_0856,Sequence feature source,,"How the annotation of a sequence feature (for example in EMBL or Swiss-Prot) was derived.|This might be the name and version of a software tool, the name of a database, or 'curated' to indicate a manual annotation (made by a human).",http://edamontology.org/data_2914
24,http://edamontology.org/data_0857,Sequence search results,Sequence database search results||Sequence search hits|Database hits (sequence)|Sequence database hits,"A report of sequence hits and associated data from searching a database of sequences (for example a BLAST search). This will typically include a list of scores (often with statistical evaluation) and a set of alignments for the hits.|The score list includes the alignment score, percentage of the query sequence matched, length of the database sequence entry in this alignment, identifier of the database sequence entry, excerpt of the database sequence entry description etc.",http://edamontology.org/data_2080
25,http://edamontology.org/data_0858,Sequence signature matches,Sequence profile alignment|Profile-profile alignment|Sequence motif matches|Sequence motif hits|Protein secondary database search results|Sequence-profile alignment|Sequence profile hits|Search results (protein secondary database)|Sequence profile matches,"Report on the location of matches (""hits"") between sequences, sequence profiles, motifs (conserved or functional patterns) and other types of sequence signatures.|A ""profile-profile alignment"" is an alignment of two sequence profiles, each profile typically representing a sequence alignment.|This includes reports of hits from a search of a protein secondary or domain database. Data associated with the search or alignment might also be included, e.g. ranked list of best-scoring sequences, a graphical representation of scores etc.|A ""sequence-profile alignment"" is an alignment of one or more molecular sequence(s) to one or more sequence profile(s) (each profile typically representing a sequence alignment).",http://edamontology.org/data_0860|http://edamontology.org/data_1916
