tool,EDAM operations URI,EDAM topics URI,EDAM data URI,EDAM formats URI
AFNI,"['http://edamontology.org/operation_2238', 'http://edamontology.org/operation_2238', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_3444', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384']","['http://edamontology.org/data_3442', 'http://edamontology.org/data_3442']",['http://edamontology.org/format_3549']
Anvi’o,"['http://edamontology.org/operation_0362', 'http://edamontology.org/operation_0310', 'http://edamontology.org/operation_3672', 'http://edamontology.org/operation_3096', 'http://edamontology.org/operation_0337', 'http://edamontology.org/operation_3460', 'http://edamontology.org/topic_0769']","['http://edamontology.org/topic_0797', 'http://edamontology.org/topic_0085', 'http://edamontology.org/topic_3174']","['http://edamontology.org/data_0925', 'http://edamontology.org/operation_3672', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2536', 'http://edamontology.org/data_0872', 'http://edamontology.org/data_1872', 'http://edamontology.org/data_0872', 'http://edamontology.org/operation_0337']","['http://edamontology.org/format_2572', 'http://edamontology.org/format_1929', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_2331', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3464', 'http://edamontology.org/format_1910', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3604', 'http://edamontology.org/format_3475']"
Bedtools_annotate,[],[],[],"['http://edamontology.org/format_3003', 'http://edamontology.org/format_3016']"
Big-FISH,[],[],[],"['http://edamontology.org/format_3547', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3591']"
COBRApy,"['http://edamontology.org/operation_2426', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_2425']","['http://edamontology.org/operation_2426', 'http://edamontology.org/topic_0602', 'http://edamontology.org/operation_3660', 'http://edamontology.org/topic_2259', 'http://edamontology.org/operation_3660']","['http://edamontology.org/data_2600', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_2978', 'http://edamontology.org/operation_2425', 'http://edamontology.org/data_3869', 'http://edamontology.org/data_0950']","['http://edamontology.org/format_4007', 'http://edamontology.org/format_2585', 'http://edamontology.org/format_3750', 'http://edamontology.org/format_3464']"
CONCOCT,[],['http://edamontology.org/topic_3174'],['http://edamontology.org/data_0925'],"['http://edamontology.org/format_1929', 'http://edamontology.org/format_3475']"
Canu,"['http://edamontology.org/operation_0310', 'http://edamontology.org/operation_0232', 'http://edamontology.org/operation_3192']","['http://edamontology.org/operation_0524', 'http://edamontology.org/operation_3219']","['http://edamontology.org/data_0925', 'http://edamontology.org/data_0925', 'http://edamontology.org/data_0924', 'http://edamontology.org/data_1234']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_3976']"
CarveMe,"['http://edamontology.org/operation_3660', 'http://edamontology.org/operation_2426', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660']","['http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660', 'http://edamontology.org/topic_3301', 'http://edamontology.org/topic_0602', 'http://edamontology.org/operation_3660', 'http://edamontology.org/topic_2259']","['http://edamontology.org/operation_0362', 'http://edamontology.org/data_0950', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_2044', 'http://edamontology.org/data_2976', 'http://edamontology.org/data_0950']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_4007', 'http://edamontology.org/format_2585']"
CellPose,"['http://edamontology.org/operation_0226', 'http://edamontology.org/operation_3443', 'http://edamontology.org/operation_3443']","['http://edamontology.org/topic_2229', 'http://edamontology.org/topic_3382']","['http://edamontology.org/data_2968', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_0006']","['http://edamontology.org/format_2330', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_2333', 'http://edamontology.org/format_2333', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3591']"
ClusterProfiler,"['http://edamontology.org/topic_0092', 'http://edamontology.org/operation_2436', 'http://edamontology.org/operation_3282', 'http://edamontology.org/operation_2436', 'http://edamontology.org/operation_3672']","['http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3501', 'http://edamontology.org/operation_2945']","['http://edamontology.org/data_3753', 'http://edamontology.org/data_2353', 'http://edamontology.org/operation_0337']","['http://edamontology.org/format_3751', 'http://edamontology.org/format_3547']"
Cytoscape,"['http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3925']","['http://edamontology.org/topic_2259', 'http://edamontology.org/topic_0602', 'http://edamontology.org/topic_0602', 'http://edamontology.org/topic_0602', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3925', 'http://edamontology.org/topic_0128', 'http://edamontology.org/operation_0337', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927']","['http://edamontology.org/data_2968', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_2600']","['http://edamontology.org/format_2585', 'http://edamontology.org/format_3156', 'http://edamontology.org/format_2331', 'http://edamontology.org/format_3618', 'http://edamontology.org/format_3468', 'http://edamontology.org/format_3508', 'http://edamontology.org/format_3604', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3619', 'http://edamontology.org/format_3475', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3822']"
EcClem,"['http://edamontology.org/operation_2426', 'http://edamontology.org/operation_0295']",['http://edamontology.org/topic_3382'],"['http://edamontology.org/data_2082', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2082', 'http://edamontology.org/data_2968']","['http://edamontology.org/format_3752', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_2332']"
FMRIprep,['http://edamontology.org/operation_0337'],"['http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384']","['http://edamontology.org/data_3442', 'http://edamontology.org/data_0006', 'http://edamontology.org/data_2048']","['http://edamontology.org/format_2331', 'http://edamontology.org/format_3549', 'http://edamontology.org/format_3475']"
